iter	RMSE
0	20.46472632
1	20.30763635
2	20.14839474
3	19.99934029
4	19.86202894
5	19.72920277
6	19.60434856
7	19.479763
8	19.36650481
9	19.25891795
10	19.15328404
11	19.05358217
12	18.96279188
13	18.87354923
14	18.78681823
15	18.71071063
16	18.63379774
17	18.55726606
18	18.48614453
19	18.42420954
20	18.35765958
21	18.29740393
22	18.23739472
23	18.18413026
24	18.13653014
25	18.08511254
26	18.03464705
27	17.9914631
28	17.95067824
29	17.90971831
30	17.86849959
31	17.83159643
32	17.79911514
33	17.76611144
34	17.73221011
35	17.69745692
36	17.66893299
37	17.63802343
38	17.6099124
39	17.58610761
40	17.56017484
41	17.53778875
42	17.51346158
43	17.48885213
44	17.46917095
45	17.44742909
46	17.42949634
47	17.41220523
48	17.39329535
49	17.37277282
50	17.35439583
51	17.33686678
52	17.3240329
53	17.30733621
54	17.28844609
55	17.27365219
56	17.26229611
57	17.24917331
58	17.23473088
59	17.22121266
60	17.21001009
61	17.19484026
62	17.18265732
63	17.17094789
64	17.15836249
65	17.14357363
66	17.13018678
67	17.12095508
68	17.11016344
69	17.10234811
70	17.09334268
71	17.08425098
72	17.07221784
73	17.06479334
74	17.05590929
75	17.05103745
76	17.04120584
77	17.03288402
78	17.02461888
79	17.01710205
80	17.00874047
81	16.99907104
82	16.9902172
83	16.98158945
84	16.97538807
85	16.96901239
86	16.96232607
87	16.95343259
88	16.94767573
89	16.94222434
90	16.9296254
91	16.92306344
92	16.91502856
93	16.9050301
94	16.90079854
95	16.89430427
96	16.8889161
97	16.88246629
98	16.87575346
99	16.87003006
100	16.86544517
101	16.85923216
102	16.8516213
103	16.84667105
104	16.84057086
105	16.83528248
106	16.82869798
107	16.82377258
108	16.8183472
109	16.80861527
110	16.80298118
111	16.79840079
112	16.79373105
113	16.78811108
114	16.78236807
115	16.77645687
116	16.77196201
117	16.76743686
118	16.76402834
119	16.76143712
120	16.75562986
121	16.75033536
122	16.74621578
123	16.73999182
124	16.73576952
125	16.7271389
126	16.72340218
127	16.71983343
128	16.71441242
129	16.71024424
130	16.70460401
131	16.70106718
132	16.69632515
133	16.69227979
134	16.68782405
135	16.68386937
136	16.67862149
137	16.67470686
138	16.67166961
139	16.66687391
140	16.66038107
141	16.65657432
142	16.65346896
143	16.64952246
144	16.64017312
145	16.63679192
146	16.63375125
147	16.62592002
148	16.61953355
149	16.61617763
150	16.61022352
151	16.60684587
152	16.60116734
153	16.59690214
154	16.59089245
155	16.58380081
156	16.58091136
157	16.57788092
158	16.5738057
159	16.56961052
160	16.56577703
161	16.56243692
162	16.55897446
163	16.55627894
164	16.55279229
165	16.54908052
166	16.54600447
167	16.54156617
168	16.53834852
169	16.53591591
170	16.53408118
171	16.53158044
172	16.52888447
173	16.5243522
174	16.51810325
175	16.51535345
176	16.51204381
177	16.50717227
178	16.50361979
179	16.50090574
180	16.49557887
181	16.49286849
182	16.48920905
183	16.48580833
184	16.48261232
185	16.48004185
186	16.47802604
187	16.47466836
188	16.4726301
189	16.47053769
190	16.46639824
191	16.46320466
192	16.46078074
193	16.45810868
194	16.45385867
195	16.44996928
196	16.44647521
197	16.44252302
198	16.4397992
199	16.43662073
200	16.43356995
201	16.43063587
202	16.42884385
203	16.42588027
204	16.42158545
205	16.41651054
206	16.41310683
207	16.40873151
208	16.40589758
209	16.40338547
210	16.39909299
211	16.39597681
212	16.3902055
213	16.38769177
214	16.38524821
215	16.38323755
216	16.38100791
217	16.37762455
