iter	Passed	Remaining
0	82	123586
1	162	121921
2	242	121205
3	331	123863
4	431	128988
5	515	128251
6	598	127638
7	685	127816
8	763	126560
9	853	127181
10	952	128882
11	1041	129090
12	1125	128703
13	1209	128328
14	1289	127703
15	1372	127272
16	1454	126913
17	1535	126451
18	1614	125811
19	1704	126147
20	1779	125314
21	1863	125166
22	1946	124972
23	2025	124568
24	2111	124568
25	2189	124147
26	2271	123898
27	2342	123149
28	2423	122922
29	2504	122709
30	2578	122203
31	2657	121896
32	2735	121598
33	2820	121593
34	2928	122559
35	3033	123358
36	3128	123708
37	3219	123881
38	3330	124763
39	3444	125720
40	3561	126745
41	3659	127030
42	3777	128011
43	3929	130018
44	4035	130476
45	4161	131540
46	4258	131658
47	4354	131718
48	4453	131866
49	4556	132131
50	4670	132692
51	4772	132899
52	4864	132796
53	4956	132713
54	5043	132509
55	5132	132354
56	5220	132161
57	5307	131954
58	5392	131695
59	5472	131341
60	5553	131007
61	5646	130963
62	5736	130837
63	5825	130717
64	5909	130467
65	5996	130277
66	6079	130031
67	6163	129796
68	6249	129599
69	6331	129344
70	6407	128970
71	6488	128681
72	6573	128499
73	6657	128292
74	6744	128142
75	6827	127930
76	6911	127726
77	7002	127652
78	7080	127363
79	7163	127157
80	7243	126894
81	7333	126809
82	7415	126600
83	7492	126306
84	7571	126041
85	7656	125890
86	7734	125618
87	7827	125589
88	7906	125342
89	7987	125136
90	8070	124952
91	8149	124719
92	8235	124598
93	8314	124366
94	8403	124278
95	8494	124225
96	8571	123981
97	8654	123816
98	8748	123799
99	8844	123821
100	8950	123977
101	9042	123930
102	9137	123931
103	9228	123881
104	9317	123783
105	9408	123735
106	9492	123575
107	9584	123530
108	9669	123395
109	9762	123362
110	9853	123295
111	9937	123160
112	10027	123075
113	10113	122964
114	10204	122900
115	10291	122785
116	10371	122601
117	10457	122480
118	10544	122370
119	10629	122238
120	10714	122109
121	10807	122066
122	10895	121973
123	10983	121880
124	11069	121762
125	11154	121634
126	11234	121454
127	11327	121411
128	11407	121233
129	11499	121185
130	11586	121087
131	11673	120979
132	11757	120850
133	11852	120825
134	11942	120750
135	12025	120610
136	12111	120496
137	12200	120415
138	12279	120235
139	12374	120206
140	12458	120081
141	12538	119914
142	12622	119785
143	12703	119627
144	12790	119528
145	12877	119424
146	12960	119286
147	13052	119238
148	13136	119112
149	13226	119034
150	13314	118949
151	13400	118844
152	13492	118787
153	13578	118677
154	13665	118585
155	13749	118456
156	13826	118271
157	13906	118118
158	13996	118047
159	14084	117960
160	14163	117794
161	14253	117720
162	14336	117595
163	14423	117501
164	14515	117445
165	14602	117344
166	14684	117214
167	14768	117094
168	14852	116976
169	14940	116885
170	15027	116790
171	15114	116695
172	15197	116576
173	15281	116455
174	15364	116329
175	15453	116249
176	15539	116148
177	15627	116067
178	15724	116046
179	15818	116003
180	15903	115894
181	15996	115841
182	16084	115754
183	16173	115672
184	16255	115548
185	16340	115436
186	16432	115379
187	16519	115285
188	16605	115186
189	16687	115057
190	16771	114944
191	16858	114850
192	16948	114772
193	17038	114699
194	17132	114657
195	17226	114605
196	17317	114543
197	17413	114509
198	17495	114379
199	17579	114267
200	17663	114153
201	17752	114071
202	17848	114036
203	17935	113943
204	18017	113815
205	18101	113705
206	18190	113627
207	18277	113533
208	18365	113445
209	18455	113371
210	18544	113286
211	18633	113205
212	18739	113228
213	18824	113124
214	18914	113046
215	19004	112968
216	19098	112920
217	19185	112827
218	19272	112733
219	19362	112651
220	19450	112564
221	19542	112502
222	19628	112403
223	19713	112294
224	19797	112186
225	19881	112077
226	19959	111930
227	20040	111802
228	20126	111704
229	20210	111598
230	20294	111486
231	20382	111401
232	20462	111269
233	20542	111138
234	20626	111029
235	20722	110986
236	20818	110944
237	20944	111057
238	21065	111145
239	21168	111135
240	21264	111088
241	21372	111099
242	21486	111144
243	21585	111110
244	21693	111122
245	21798	111120
246	21917	111184
247	22038	111258
248	22156	111314
249	22269	111345
250	22367	111301
251	22473	111297
252	22579	111289
253	22704	111377
254	22840	111515
255	23025	111889
256	23155	111995
257	23268	112014
258	23380	112026
259	23564	112383
260	23721	112607
261	23857	112733
262	23998	112875
263	24138	113011
264	24246	112997
265	24365	113035
266	24473	113019
267	24583	113011
268	24752	113270
269	24891	113393
270	25002	113387
271	25121	113417
272	25228	113388
273	25334	113359
274	25439	113322
275	25550	113311
276	25661	113300
277	25774	113297
278	25888	113298
279	26007	113319
280	26116	113296
281	26256	113404
282	26374	113420
283	26504	113482
284	26617	113476
285	26736	113488
286	26841	113444
287	26951	113422
288	27079	113469
289	27182	113418
290	27292	113390
291	27417	113427
292	27531	113415
293	27659	113461
294	27782	113482
295	27907	113516
296	28009	113454
297	28118	113418
298	28217	113341
299	28327	113311
300	28431	113252
301	28527	113164
302	28690	113343
303	28813	113357
304	28987	113573
305	29111	113590
306	29235	113609
307	29347	113577
308	29457	113541
309	29566	113495
310	29672	113442
311	29787	113420
312	29892	113362
313	29997	113303
314	30110	113274
315	30218	113225
316	30334	113202
317	30439	113141
318	30544	113079
319	30643	112999
320	30756	112965
321	30857	112890
322	30977	112880
323	31082	112818
324	31196	112786
325	31308	112748
326	31409	112670
327	31509	112588
328	31610	112508
329	31720	112464
330	31825	112398
331	31922	112304
332	32024	112230
333	32126	112155
334	32229	112081
335	32353	112082
336	32455	112004
337	32561	111943
338	32664	111870
339	32774	111819
340	32882	111763
341	32979	111666
342	33078	111578
343	33189	111532
344	33287	111441
345	33387	111356
346	33490	111280
347	33593	111205
348	33691	111115
349	33793	111035
350	33889	110938
351	33988	110849
352	34085	110752
353	34209	110744
354	34304	110645
355	34402	110552
356	34507	110480
357	34612	110410
358	34713	110329
359	34812	110238
360	34910	110145
361	35023	110102
362	35128	110029
363	35239	109979
364	35340	109895
365	35435	109793
366	35539	109715
367	35651	109665
368	35758	109602
369	35869	109548
370	35969	109459
371	36071	109379
372	36175	109303
373	36275	109213
374	36374	109124
375	36473	109031
376	36570	108935
377	36665	108832
378	36763	108738
379	36801	108467
380	36897	108369
381	37007	108309
382	37126	108277
383	37227	108192
384	37370	108229
385	37504	108238
386	37627	108215
387	37754	108204
388	37865	108146
389	37975	108082
390	38090	108037
391	38212	108009
392	38329	107967
393	38443	107914
394	38551	107845
395	38664	107791
396	38789	107769
397	38911	107740
398	39030	107701
399	39160	107691
400	39303	107717
401	39427	107690
402	39558	107682
403	39684	107658
404	39807	107627
405	39917	107561
406	40038	107523
407	40147	107454
408	40263	107403
409	40377	107345
410	40484	107269
411	40591	107193
412	40708	107142
413	40819	107077
414	40932	107017
415	41047	106960
416	41167	106917
417	41272	106833
418	41379	106756
419	41507	106733
420	41622	106677
421	41757	106668
422	41887	106648
423	42030	106661
424	42155	106629
425	42286	106608
426	42428	106617
427	42549	106572
428	42671	106529
429	42818	106547
430	42972	106583
431	43159	106699
432	43293	106683
433	43431	106677
434	43567	106664
435	43764	106800
436	44095	107261
437	44281	107366
438	44481	107506
439	44647	107558
440	44811	107609
441	44992	107698
442	45176	107791
443	45321	107791
444	45486	107838
445	45638	107853
446	45789	107865
447	45930	107855
448	46069	107837
449	46212	107829
450	46342	107789
451	46465	107735
452	46593	107689
453	46709	107618
454	46822	107537
455	46929	107444
456	47043	107365
457	47148	107267
458	47253	107170
459	47372	107103
460	47486	107024
461	47597	106938
462	47704	106846
463	47812	106752
464	47924	106671
465	48030	106573
466	48142	106490
467	48247	106390
468	48365	106321
469	48483	106251
470	48600	106177
471	48706	106081
472	48811	105981
473	48922	105895
474	49044	105831
475	49158	105752
476	49283	105695
477	49395	105610
478	49507	105526
479	49611	105424
480	49719	105330
481	49826	105234
482	49924	105120
483	50037	105036
484	50168	104991
485	50277	104899
486	50386	104808
487	50506	104739
488	50617	104650
489	50733	104572
490	50848	104493
491	50983	104453
492	51114	104407
493	51224	104315
494	51374	104304
495	51503	104252
496	51793	104524
497	52004	104634
498	52236	104788
499	52405	104811
500	52723	105131
501	53086	105538
502	53341	105728
503	53856	106430
504	54188	106766
505	54406	106877
506	54589	106918
507	54743	106900
508	54917	106921
509	55061	106884
510	55252	106936
511	55465	107030
512	55689	107145
513	55920	107271
514	56108	107314
515	56419	107591
516	57036	108447
517	57373	108766
518	57608	108890
519	57832	108992
520	58013	109012
521	58233	109103
522	58402	109099
523	58567	109087
524	58724	109059
525	58883	109035
526	59049	109023
527	59198	108979
528	59328	108900
529	59471	108843
530	59632	108820
531	59772	108758
532	59916	108704
533	60037	108606
534	60153	108500
535	60288	108429
536	60445	108396
537	60616	108388
538	60749	108312
539	60881	108234
540	61013	108154
541	61273	108302
542	61493	108377
543	61725	108472
544	61991	108626
545	62136	108567
546	62280	108506
547	62398	108400
548	62497	108260
549	62605	108136
550	62731	108043
551	62842	107924
552	62956	107811
553	63063	107686
554	63170	107559
555	63285	107448
556	63392	107323
557	63497	107194
558	63597	107057
559	63702	106929
560	63811	106807
561	63912	106673
562	64026	106558
563	64137	106441
564	64244	106315
565	64356	106200
566	64457	106065
567	64553	105922
568	64682	105833
569	64812	105747
570	64938	105653
571	65040	105519
572	65139	105382
573	65235	105240
574	65341	105114
575	65464	105015
576	65564	104881
577	65661	104740
578	65753	104593
579	65849	104450
580	65941	104303
581	66040	104166
582	66139	104030
583	66243	103902
584	66345	103770
585	66448	103642
586	66545	103502
587	66652	103378
588	66742	103230
589	66847	103103
590	66931	102944
591	67041	102827
592	67139	102690
593	67247	102568
594	67342	102427
595	67437	102287
596	67532	102147
597	67625	102003
598	67716	101858
599	67814	101721
600	67907	101579
601	68010	101450
602	68106	101311
603	68210	101186
604	68318	101065
605	68418	100934
606	68515	100798
607	68621	100674
608	68721	100542
609	68818	100407
610	68913	100268
611	69007	100129
612	69108	99998
613	69202	99858
614	69297	99721
615	69393	99583
616	69494	99455
617	69585	99310
618	69676	99168
619	69767	99025
620	69875	98906
621	69957	98750
622	70044	98601
623	70124	98443
624	70205	98288
625	70295	98144
626	70384	97999
627	70476	97859
628	70568	97718
629	70668	97590
630	70777	97473
631	70871	97336
632	70982	97223
633	71096	97112
634	71209	97001
635	71317	96883
636	71422	96762
637	71532	96646
638	71636	96523
639	71750	96414
640	71855	96292
641	71964	96176
642	72211	96244
643	72323	96131
644	72448	96035
645	72577	95946
646	72710	95860
647	72838	95769
648	72953	95660
649	73056	95535
650	73155	95405
651	73266	95291
652	73372	95170
653	73480	95052
654	73593	94941
655	73698	94819
656	73808	94704
657	73897	94561
658	73994	94430
659	74099	94308
660	74199	94180
661	74300	94054
662	74397	93922
663	74507	93807
664	74611	93685
665	74708	93553
666	74807	93425
667	74909	93300
668	75007	93170
669	75107	93043
670	75215	92926
671	75320	92806
672	75414	92671
673	75493	92519
674	75590	92388
675	75678	92247
676	75796	92142
677	75900	92021
678	76001	91895
679	76119	91790
680	76227	91674
681	76326	91547
682	76429	91424
683	76520	91287
684	76617	91157
685	76709	91022
686	76808	90896
687	76909	90770
688	77013	90649
689	77107	90517
690	77209	90394
691	77305	90263
692	77411	90146
693	77509	90017
694	77609	89892
695	77727	89788
696	77838	89676
697	77935	89547
698	78027	89413
699	78125	89286
700	78254	89194
701	78351	89065
702	78474	88967
703	78568	88835
704	78661	88703
705	78765	88583
706	78864	88457
707	78971	88340
708	79077	88223
709	79186	88109
710	79283	87980
711	79389	87864
712	79496	87746
713	79616	87645
714	79719	87523
715	79831	87413
716	79939	87298
717	80067	87204
718	80172	87085
719	80284	86974
720	80394	86861
721	80498	86741
722	80608	86629
723	80714	86511
724	80814	86388
725	80932	86283
726	81030	86157
727	81140	86044
728	81249	85930
729	81345	85802
730	81451	85685
731	81543	85553
732	81643	85430
733	81744	85308
734	81851	85192
735	81956	85074
736	82065	84960
737	82174	84846
738	82279	84729
739	82402	84629
740	82511	84515
741	82613	84395
742	82711	84270
743	82812	84148
744	82921	84034
745	83022	83912
746	83117	83785
747	83212	83657
748	83323	83546
749	83466	83466
750	83593	83371
751	83694	83249
752	83820	83152
753	83947	83057
754	84048	82935
755	84240	82903
756	84430	82868
757	84620	82834
758	84759	82749
759	84915	82680
760	85041	82582
761	85199	82516
762	85334	82426
763	85453	82322
764	85580	82224
765	85703	82123
766	85820	82015
767	85939	81911
768	86058	81805
769	86178	81701
770	86306	81604
771	86459	81531
772	86578	81426
773	86700	81323
774	86834	81232
775	86940	81114
776	87059	81008
777	87212	80935
778	87363	80859
779	87494	80764
780	87615	80660
781	87728	80548
782	87858	80452
783	87977	80347
784	88096	80240
785	88209	80129
786	88349	80042
787	88538	79999
788	88726	79955
789	88958	79949
790	89156	79913
791	89360	79882
792	89504	79798
793	89704	79762
794	89885	79709
795	90032	79627
796	90242	79598
797	90408	79532
798	90561	79453
799	90685	79349
800	90825	79259
801	90944	79150
802	91075	79052
803	91210	78957
804	91341	78859
805	91477	78766
806	91595	78656
807	91725	78556
808	91842	78446
809	91953	78331
810	92085	78232
811	92188	78110
812	92332	78022
813	92457	77918
814	92563	77799
815	92677	77685
816	92786	77568
817	92897	77452
818	93000	77329
819	93105	77209
820	93221	77097
821	93341	76989
822	93462	76882
823	93565	76759
824	93674	76642
825	93786	76528
826	93921	76431
827	94036	76319
828	94154	76209
829	94265	76093
830	94363	75967
831	94474	75852
832	94581	75733
833	94686	75612
834	94796	75496
835	94903	75378
836	95019	75266
837	95120	75143
838	95228	75025
839	95343	74912
840	95452	74795
841	95552	74671
842	95667	74559
843	95773	74440
844	95878	74320
845	95981	74198
846	96104	74092
847	96222	73982
848	96327	73862
849	96439	73747
850	96548	73630
851	96651	73509
852	96764	73395
853	96872	73278
854	96972	73154
855	97094	73048
856	97207	72933
857	97314	72815
858	97429	72703
859	97533	72583
860	97643	72467
861	97741	72342
862	97845	72221
863	97947	72100
864	98049	71978
865	98145	71852
866	98242	71727
867	98335	71599
868	98433	71474
869	98530	71349
870	98624	71222
871	98716	71093
872	98819	70973
873	98917	70849
874	99013	70723
875	99104	70595
876	99200	70469
877	99290	70340
878	99383	70213
879	99477	70086
880	99573	69961
881	99662	69831
882	99749	69700
883	99842	69573
884	99950	69457
885	100049	69334
886	100143	69208
887	100236	69081
888	100339	68962
889	100446	68845
890	100547	68724
891	100639	68597
892	100742	68477
893	100842	68356
894	100944	68236
895	101044	68114
896	101155	68000
897	101256	67880
898	101370	67768
899	101481	67654
900	101578	67531
901	101682	67412
902	101794	67299
903	101894	67177
904	101996	67058
905	102096	66937
906	102200	66819
907	102294	66694
908	102403	66579
909	102505	66459
910	102615	66345
911	102729	66233
912	102824	66109
913	103014	66046
914	103206	65984
915	103358	65896
916	103479	65788
917	103592	65676
918	103702	65561
919	103818	65450
920	103933	65339
921	104046	65226
922	104153	65110
923	104259	64992
924	104374	64881
925	104482	64765
926	104595	64653
927	104707	64539
928	104803	64416
929	104911	64300
930	105013	64180
931	105115	64061
932	105232	63951
933	105334	63832
934	105442	63716
935	105546	63598
936	105641	63475
937	105726	63345
938	105820	63221
939	105911	63095
940	106005	62972
941	106097	62847
942	106172	62712
943	106263	62587
944	106355	62462
945	106461	62346
946	106560	62225
947	106658	62104
948	106759	61985
949	106846	61858
950	106944	61737
951	107041	61616
952	107139	61495
953	107231	61371
954	107320	61245
955	107421	61126
956	107519	61006
957	107619	60887
958	107716	60765
959	107811	60643
960	107908	60523
961	107999	60398
962	108092	60276
963	108188	60154
964	108284	60033
965	108384	59914
966	108477	59791
967	108564	59665
968	108657	59542
969	108741	59415
970	108833	59292
971	108931	59172
972	109017	59046
973	109106	58922
974	109201	58800
975	109320	58692
976	109419	58573
977	109519	58455
978	109614	58334
979	109719	58218
980	109836	58108
981	109960	58003
982	110063	57887
983	110191	57783
984	110301	57670
985	110405	57554
986	110506	57436
987	110614	57322
988	110712	57203
989	110811	57084
990	110904	56963
991	110999	56842
992	111103	56726
993	111207	56610
994	111313	56495
995	111413	56377
996	111516	56261
997	111617	56144
998	111712	56024
999	111822	55911
1000	111932	55798
1001	112030	55679
1002	112123	55558
